mRNA	logFC	FDR	Short	Long	Delta
PRKY|5616	1.6529653173795724	0.00873640959826661	7.17948717948718	20.35185185185185	11.867443304263597
KCNK7|10089	1.2965536708781726	0.0014086444991802977	9.128205128205128	19.64814814814815	11.83520786750332
SPHKAP|80309	4.079822336451561	6.968052808806036e-8	2.7051282051282053	45.592592592592595	11.036442474247172
CLEC18C|283971	-1.574026997793235	0.01850643199314341	6.756923076923077	2.380185185185185	10.63557934508906
SLCO1A2|6579	3.071381177593574	1.5877407781188245e-5	3.3974358974358974	26.40740740740741	10.434820667465347
C4orf40|401137	5.087847589390827	0.024850891205670515	2	52.2962962962963	10.175695178781654
CA7|766	-2.3438307016588817	0.004061219356518565	4.205128205128205	0.7777777777777778	9.856108591591195
MYBPH|4608	1.5170253860809824	0.026189866345078933	6.448717948717949	20.74074074074074	9.782868835881207
PLAC1L|219990	-4.027394364929942	0.04080108821887519	2.423076923076923	0	9.758686345791784
C8G|733	-1.015953642588321	0.04080108821887519	9.602564102564102	5.7592592592592595	9.755759978187852
SOX30|11063	1.0168666996236118	0.007714674921851726	9.294871794871796	16.333333333333332	9.451645605475878
TM4SF4|7104	-1.305581761288204	0.044730739592342916	7.141025641025641	2.6296296296296298	9.323192833814483
OMG|4974	1.6984275910120337	1.0565328858247866e-6	5.397435897435898	18.925925925925927	9.167154048923926
DGKB|1607	2.0301428133589603	1.4177280215746366e-6	4.5	30.462962962962962	9.135642660115321
KLK15|55554	-3.000906793073022	0.013683718939672136	3.0128205128205128	0.24074074074074073	9.041193543232822
GRIA1|2890	1.483747231763929	0.008764676362643727	5.9743589743589745	16.09259259259259	8.864438589769115
AMY2A|279	1.3882366468846425	0.0220509251392165	6.384615384615385	14.88888888888889	8.863357053186565
C1orf129|80133	-2.303196461054842	0.005249436604641975	3.8333333333333335	0.7037037037037037	8.828919767376895
SLC12A5|57468	1.006301694130538	0.013786760598238416	8.76923076923077	16.35185185185185	8.824491779298565
ALX1|8092	-1.6774753167861254	0.023054783128405764	5.141025641025641	1.7777777777777777	8.62394361578508
PLD5|200150	2.1636717086826325	0.0025827465658283125	3.9743589743589745	16.61111111111111	8.599208072969438
F13B|2165	-2.399569948400012	0.016573741491551407	3.576923076923077	0.5925925925925926	8.58307712312312
C22orf15|150248	-1.3836243546990903	0.029163205258699386	6.17948717948718	2.8333333333333335	8.550088961089251
FABP9|646480	-3.6814468111554843	0.03322364316801997	2.2435897435897436	0.037037037037037035	8.259656307079613
CHP2|63928	3.2539301390452575	2.208688091240812e-5	2.5128205128205128	25.38888888888889	8.176542400677826
CAGE1|285782	3.837913209163273	1.127115015515779e-12	2.08974358974359	31.074074074074073	8.0202545268412
OR13A1|79290	-1.3371698144982165	0.04759929925913916	5.9743589743589745	2.425925925925926	7.988732481489345
